"# Table S1: Curated Microvirus Genomes, plus additional Obscuriviridae",,,,,,,,,,,
Genome designation,Reported Source,Source Attribution for Analyses,GC content,Sequence Length (nt),Phylum,Class,Order,Family,Genus,Genus CRISPR prediction,CRISPR Prediction Correct?
Family3_GokushovirinaeA_MH572290,Ciona robusta,Marine invertebrate,38,4368,,,,,,,
Family3_GokushovirinaeA_MH572291,Ciona robusta,Marine invertebrate,42,4248,,,,,,,
Family3_GokushovirinaeA_MH572292,Ciona robusta,Marine invertebrate,42,4241,,,,,,,
Family3_GokushovirinaeA_MH572293,Ciona robusta,Marine invertebrate,45,4150,,,,,,,
Family3_GokushovirinaeA_MH572294,Ciona robusta,Marine invertebrate,42,4499,,,,,,,
Family3_GokushovirinaeA_MH572295,Ciona robusta,Marine invertebrate,35,4122,,,,,,,
Family3_GokushovirinaeA_MH572296,Ciona robusta,Marine invertebrate,35,4116,,,,,,,
Family3_GokushovirinaeA_MH572297,Ciona robusta,Marine invertebrate,33,4686,,,,,,,
Family3_GokushovirinaeA_MH572298,Ciona robusta,Marine invertebrate,39,4176,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia,n/a
Family3_GokushovirinaeA_MH572299,Ciona robusta,Marine invertebrate,39,4221,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572300,Ciona robusta,Marine invertebrate,40,4526,Chlorobi,Bhlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium,n/a
Family3_GokushovirinaeA_MH572301,Ciona robusta,Marine invertebrate,39,4470,,,,,,,
Family3_GokushovirinaeA_MH572302,Ciona robusta,Marine invertebrate,41,4416,,,,,,,
Family3_GokushovirinaeA_MH572303,Ciona robusta,Marine invertebrate,41,4331,,,,,,,
Family3_GokushovirinaeA_MH572304,Ciona robusta,Marine invertebrate,42,4518,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera,n/a
Family3_GokushovirinaeA_MH572305,Ciona robusta,Marine invertebrate,42,4571,,,,,,,
Family3_GokushovirinaeA_MH572306,Ciona robusta,Marine invertebrate,41,4544,,,,,,,
Family3_GokushovirinaeA_MH572307,Ciona robusta,Marine invertebrate,40,4325,,,,,,,
Family3_GokushovirinaeA_MH572308,Ciona robusta,Marine invertebrate,44,4413,,,,,,,
Family3_GokushovirinaeA_MH572309,Ciona robusta,Marine invertebrate,39,4511,,,,,,,
Family3_GokushovirinaeA_MH572310,Ciona robusta,Marine invertebrate,40,4486,,,,,,,
Family3_GokushovirinaeA_MH572311,Ciona robusta,Marine invertebrate,42,4465,,,,,,,
Family3_GokushovirinaeA_MH572312,Ciona robusta,Marine invertebrate,42,4247,,,,,,,
Family3_GokushovirinaeA_MH572313,Ciona robusta,Marine invertebrate,43,4412,Chlorobi,Bhlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium,n/a
Family3_GokushovirinaeA_MH572314,Ciona robusta,Marine invertebrate,54,4207,,,,,,,
Family3_GokushovirinaeA_MH572315,Ciona robusta,Marine invertebrate,49,4342,,,,,,,
Family3_GokushovirinaeA_MH572316,Ciona robusta,Marine invertebrate,52,4266,,,,,,,
Family3_GokushovirinaeA_MH572317,Ciona robusta,Marine invertebrate,52,4178,Proteobacteria,Gammaproteobacteria,Oceanospirllales,Alcanivoracaceae,Alcanivorax,Alcanivorax,n/a
Family3_GokushovirinaeA_MH572318,Ciona robusta,Marine invertebrate,55,4447,,,,,,,
Family3_GokushovirinaeA_MH572319,Ciona robusta,Marine invertebrate,50,4285,,,,,,,
Family3_GokushovirinaeA_MH572320,Ciona robusta,Marine invertebrate,53,4326,,,,,,,
Family3_GokushovirinaeA_MH572321,Ciona robusta,Marine invertebrate,52,4340,,,,,,,
Family3_GokushovirinaeA_MH572322,Ciona robusta,Marine invertebrate,54,4195,,,,,,,
Family3_GokushovirinaeA_MH572323,Ciona robusta,Marine invertebrate,50,4084,,,,,,,
Family3_GokushovirinaeA_MH572324,Ciona robusta,Marine invertebrate,43,4320,,,,,,,
Family3_GokushovirinaeA_MH572325,Ciona robusta,Marine invertebrate,51,4018,,,,,,,
Family3_GokushovirinaeA_MH572326,Ciona robusta,Marine invertebrate,51,4345,,,,,,,
Family3_GokushovirinaeA_MH572327,Ciona robusta,Marine invertebrate,51,4194,,,,,,,
Family3_GokushovirinaeA_MH572328,Ciona robusta,Marine invertebrate,49,4053,,,,,,,
Family3_GokushovirinaeA_MH572329,Ciona robusta,Marine invertebrate,48,4292,,,,,,,
Family3_GokushovirinaeA_MH572330,Ciona robusta,Marine invertebrate,49,4265,,,,,,,
Family3_GokushovirinaeA_MH572331,Ciona robusta,Marine invertebrate,48,4181,Chlorobi,Bhlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium,n/a
Family3_GokushovirinaeA_MH572332,Ciona robusta,Marine invertebrate,50,4589,,,,,,,
Family3_GokushovirinaeA_MH572333,Ciona robusta,Marine invertebrate,57,4467,Chlorobi,Bhlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium,n/a
Family3_GokushovirinaeA_MH572334,Ciona robusta,Marine invertebrate,57,4248,,,,,,,
Family3_GokushovirinaeA_MH572335,Ciona robusta,Marine invertebrate,57,4148,,,,,,,
Family3_GokushovirinaeA_MH572336,Ciona robusta,Marine invertebrate,51,4309,,,,,,,
Family3_GokushovirinaeA_MH572337,Ciona robusta,Marine invertebrate,46,4846,,,,,,,
Family3_GokushovirinaeA_MH572338,Ciona robusta,Marine invertebrate,47,4400,,,,,,,
Family3_GokushovirinaeA_MH572339,Ciona robusta,Marine invertebrate,44,4497,,,,,,,
Family3_GokushovirinaeA_MH572340,Ciona robusta,Marine invertebrate,44,4153,,,,,,,
Family3_GokushovirinaeA_MH572341,Ciona robusta,Marine invertebrate,41,4246,,,,,,,
Family3_GokushovirinaeA_MH572342,Ciona robusta,Marine invertebrate,42,4211,,,,,,,
Family3_GokushovirinaeA_MH572343,Ciona robusta,Marine invertebrate,39,4136,,,,,,,
Family3_GokushovirinaeA_MH572344,Ciona robusta,Marine invertebrate,49,4533,,,,,,,
Family3_GokushovirinaeA_MH572345,Ciona robusta,Marine invertebrate,47,4324,,,,,,,
Family3_GokushovirinaeA_MH572346,Ciona robusta,Marine invertebrate,49,4273,,,,,,,
Family3_GokushovirinaeA_MH572347,Ciona robusta,Marine invertebrate,45,4417,,,,,,,
Family3_GokushovirinaeA_MH572348,Ciona robusta,Marine invertebrate,49,4255,,,,,,,
Family3_GokushovirinaeA_MH572349,Ciona robusta,Marine invertebrate,50,4246,,,,,,,
Family3_GokushovirinaeA_MH572350,Ciona robusta,Marine invertebrate,54,4466,,,,,,,
Family3_GokushovirinaeA_MH572351,Ciona robusta,Marine invertebrate,49,4227,,,,,,,
Family3_GokushovirinaeA_MH572382,Ciona robusta,Marine invertebrate,45,4183,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572382_,Ciona robusta,Marine invertebrate,45,4183,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572383,Ciona robusta,Marine invertebrate,41,4299,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572384,Ciona robusta,Marine invertebrate,42,4466,,,,,,,
Family3_GokushovirinaeA_MH572385,Ciona robusta,Marine invertebrate,42,4432,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium,n/a
Family3_GokushovirinaeA_MH572386,Ciona robusta,Marine invertebrate,42,4438,,,,,,,
Family3_GokushovirinaeA_MH572387,Ciona robusta,Marine invertebrate,42,4345,,,,,,,
Family3_GokushovirinaeA_MH572388,Ciona robusta,Marine invertebrate,34,4252,,,,,,,
Family3_GokushovirinaeA_MH572389,Ciona robusta,Marine invertebrate,34,4053,,,,,,,
Family3_GokushovirinaeA_MH572390,Ciona robusta,Marine invertebrate,37,4048,,,,,,,
Family3_GokushovirinaeA_MH572391,Ciona robusta,Marine invertebrate,37,4069,,,,,,,
Family3_GokushovirinaeA_MH572392,Ciona robusta,Marine invertebrate,41,4421,,,,,,,
Family3_GokushovirinaeA_MH572393,Ciona robusta,Marine invertebrate,42,4361,,,,,,,
Family3_GokushovirinaeA_MH572394,Ciona robusta,Marine invertebrate,52,4107,,,,,,,
Family3_GokushovirinaeA_MH572395,Ciona robusta,Marine invertebrate,53,4163,,,,,,,
Family3_GokushovirinaeA_MH572396,Ciona robusta,Marine invertebrate,52,4188,,,,,,,
Family3_GokushovirinaeA_MH572397,Ciona robusta,Marine invertebrate,55,4428,,,,,,,
Family3_GokushovirinaeA_MH572398,Ciona robusta,Marine invertebrate,48,4355,,,,,,,
Family3_GokushovirinaeA_MH572399,Ciona robusta,Marine invertebrate,39,4105,,,,,,,
Family3_GokushovirinaeA_MH572400,Ciona robusta,Marine invertebrate,41,4264,,,,,,,
Family3_GokushovirinaeA_MH572401,Ciona robusta,Marine invertebrate,40,4143,,,,,,,
Family3_GokushovirinaeA_MH572402,Ciona robusta,Marine invertebrate,40,4090,,,,,,,
Family3_GokushovirinaeA_MH572403,Ciona robusta,Marine invertebrate,42,4250,,,,,,,
Family3_GokushovirinaeA_MH572404,Ciona robusta,Marine invertebrate,47,4352,,,,,,,
Family3_GokushovirinaeA_MH572405,Ciona robusta,Marine invertebrate,53,4781,,,,,,,
Family3_GokushovirinaeA_MH572406,Ciona robusta,Marine invertebrate,50,4671,,,,,,,
Family3_GokushovirinaeA_MH572416,Ciona robusta,Marine invertebrate,49,4212,,,,,,,
Family3_GokushovirinaeA_MH572417,Ciona robusta,Marine invertebrate,44,4270,,,,,,,
Family3_GokushovirinaeA_MH572418,Ciona robusta,Marine invertebrate,48,4661,,,,,,,
Family3_GokushovirinaeA_MH572419,Ciona robusta,Marine invertebrate,47,4268,,,,,,,
Family3_GokushovirinaeA_MH572420,Ciona robusta,Marine invertebrate,52,4260,,,,,,,
Family3_GokushovirinaeA_MH572421,Ciona robusta,Marine invertebrate,35,4440,,,,,,,
Family3_GokushovirinaeA_MH572422,Ciona robusta,Marine invertebrate,40,4642,,,,,,,
Family3_GokushovirinaeA_MH572423,Ciona robusta,Marine invertebrate,50,4123,,,,,,,
Family3_GokushovirinaeA_MH572424,Ciona robusta,Marine invertebrate,48,4125,,,,,,,
Family3_GokushovirinaeA_MH572425,Ciona robusta,Marine invertebrate,40,4409,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572426,Ciona robusta,Marine invertebrate,35,4452,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,n/a
Family3_GokushovirinaeA_MH572427,Ciona robusta,Marine invertebrate,42,4214,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter,n/a
Family3_GokushovirinaeA_MH572428,Ciona robusta,Marine invertebrate,43,4242,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572429,Ciona robusta,Marine invertebrate,45,4176,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572430,Ciona robusta,Marine invertebrate,42,4432,Proteobacteria,Gammaproteobacteria,Oceanospirllales,Alcanivoracaceae,Alcanivorax,Alcanivorax,n/a
Family3_GokushovirinaeA_MH572431,Ciona robusta,Marine invertebrate,42,4337,,,,,,,
Family3_GokushovirinaeA_MH572432,Ciona robusta,Marine invertebrate,40,4286,,,,,,,
Family3_GokushovirinaeA_MH572433,Ciona robusta,Marine invertebrate,40,4457,,,,,,,
Family3_GokushovirinaeA_MH572434,Ciona robusta,Marine invertebrate,41,4319,,,,,,,
Family3_GokushovirinaeA_MH572435,Ciona robusta,Marine invertebrate,40,4572,,,,,,,
Family3_GokushovirinaeA_MH572436,Ciona robusta,Marine invertebrate,43,4415,,,,,,,
Family3_GokushovirinaeA_MH572437,Ciona robusta,Marine invertebrate,42,4542,,,,,,,
Family3_GokushovirinaeA_MH572438,Ciona robusta,Marine invertebrate,42,4169,,,,,,,
Family3_GokushovirinaeA_MH572439,Ciona robusta,Marine invertebrate,50,4385,,,,,,,
Family3_GokushovirinaeA_MH572440,Ciona robusta,Marine invertebrate,46,4106,,,,,,,
Family3_GokushovirinaeA_MH572441,Ciona robusta,Marine invertebrate,53,4152,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira,n/a
Family3_GokushovirinaeA_MH572442,Ciona robusta,Marine invertebrate,49,4248,,,,,,,
Family3_GokushovirinaeA_MH572443,Ciona robusta,Marine invertebrate,45,4437,Proteobacteria,Gammaproteobacteria,Oceanospirllales,Alcanivoracaceae,Alcanivorax,Alcanivorax,n/a
Family3_GokushovirinaeA_MH572444,Ciona robusta,Marine invertebrate,49,4399,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marimonas,Marinomonas,n/a
Family3_GokushovirinaeA_MH572445,Ciona robusta,Marine invertebrate,48,4701,,,,,,,
Family3_GokushovirinaeA_MH572446,Ciona robusta,Marine invertebrate,50,4393,,,,,,,
Family3_GokushovirinaeA_MH572447,Ciona robusta,Marine invertebrate,61,4351,,,,,,,
Family3_GokushovirinaeA_MH572448,Ciona robusta,Marine invertebrate,56,4226,,,,,,,
Family3_GokushovirinaeA_MH572449,Ciona robusta,Marine invertebrate,51,4240,,,,,,,
Family3_GokushovirinaeA_MH572450,Ciona robusta,Marine invertebrate,47,4443,,,,,,,
Family3_GokushovirinaeA_MH572451,Ciona robusta,Marine invertebrate,49,4650,,,,,,,
Family3_GokushovirinaeA_MH572452,Ciona robusta,Marine invertebrate,45,4451,,,,,,,
Family3_GokushovirinaeA_MH572453,Ciona robusta,Marine invertebrate,39,4249,,,,,,,
Family3_GokushovirinaeA_MH572454,Ciona robusta,Marine invertebrate,44,4096,,,,,,,
Family3_GokushovirinaeA_MH572455,Ciona robusta,Marine invertebrate,50,4627,,,,,,,
Family3_GokushovirinaeA_MH572466,Ciona robusta,Marine invertebrate,48,4177,,,,,,,
Family3_GokushovirinaeA_MH572467,Ciona robusta,Marine invertebrate,36,4227,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572468,Ciona robusta,Marine invertebrate,36,4313,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572469,Ciona robusta,Marine invertebrate,41,4398,,,,,,,
Family3_GokushovirinaeA_MH572470,Ciona robusta,Marine invertebrate,34,4028,,,,,,,
Family3_GokushovirinaeA_MH572471,Ciona robusta,Marine invertebrate,34,4076,,,,,,,
Family3_GokushovirinaeA_MH572472,Ciona robusta,Marine invertebrate,42,4199,,,,,,,
Family3_GokushovirinaeA_MH572473,Ciona robusta,Marine invertebrate,60,4344,,,,,,,
Family3_GokushovirinaeA_MH572474,Ciona robusta,Marine invertebrate,57,4317,,,,,,,
Family3_GokushovirinaeA_MH572475,Ciona robusta,Marine invertebrate,54,4309,,,,,,,
Family3_GokushovirinaeA_MH572476,Ciona robusta,Marine invertebrate,54,4353,,,,,,,
Family3_GokushovirinaeA_MH572477,Ciona robusta,Marine invertebrate,55,4301,,,,,,,
Family3_GokushovirinaeA_MH572478,Ciona robusta,Marine invertebrate,54,4247,,,,,,,
Family3_GokushovirinaeA_MH572479,Ciona robusta,Marine invertebrate,53,4210,,,,,,,
Family3_GokushovirinaeA_MH572480,Ciona robusta,Marine invertebrate,48,4338,,,,,,,
Family3_GokushovirinaeA_MH572481,Ciona robusta,Marine invertebrate,52,4459,,,,,,,
Family3_GokushovirinaeA_MH572487,Ciona robusta,Marine invertebrate,50,4521,,,,,,,
Family3_GokushovirinaeA_MH572492,Ciona robusta,Marine invertebrate,51,4141,,,,,,,
Family3_GokushovirinaeA_MH572493,Ciona robusta,Marine invertebrate,39,4230,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572494,Ciona robusta,Marine invertebrate,39,4497,,,,,,,
Family3_GokushovirinaeA_MH572495,Ciona robusta,Marine invertebrate,47,4316,,,,,,,
Family3_GokushovirinaeA_MH572496,Ciona robusta,Marine invertebrate,37,4346,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH572497,Ciona robusta,Marine invertebrate,37,4367,,,,,,,
Family3_GokushovirinaeA_MH572498,Ciona robusta,Marine invertebrate,37,4367,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio,n/a
Family3_GokushovirinaeA_MH572499,Ciona robusta,Marine invertebrate,37,4348,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio,n/a
Family3_GokushovirinaeA_MH572500,Ciona robusta,Marine invertebrate,38,4361,,,,,,,
Family3_GokushovirinaeA_MH572501,Ciona robusta,Marine invertebrate,37,4215,,,,,,,
Family3_GokushovirinaeA_MH572502,Ciona robusta,Marine invertebrate,39,4415,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH572503,Ciona robusta,Marine invertebrate,32,4449,,,,,,,
Family3_GokushovirinaeA_MH572504,Ciona robusta,Marine invertebrate,45,4093,,,,,,,
Family3_GokushovirinaeA_MH572505,Ciona robusta,Marine invertebrate,34,4041,,,,,,,
Family3_GokushovirinaeA_MH572506,Ciona robusta,Marine invertebrate,34,4115,,,,,,,
Family3_GokushovirinaeA_MH572507,Ciona robusta,Marine invertebrate,43,4353,,,,,,,
Family3_GokushovirinaeA_MH572508,Ciona robusta,Marine invertebrate,40,4479,,,,,,,
Family3_GokushovirinaeA_MH572509,Ciona robusta,Marine invertebrate,42,4368,,,,,,,
Family3_GokushovirinaeA_MH572510,Ciona robusta,Marine invertebrate,53,4126,,,,,,,
Family3_GokushovirinaeA_MH572511,Ciona robusta,Marine invertebrate,53,4189,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio,n/a
Family3_GokushovirinaeA_MH572512,Ciona robusta,Marine invertebrate,53,4426,,,,,,,
Family3_GokushovirinaeA_MH572513,Ciona robusta,Marine invertebrate,40,4221,,,,,,,
Family3_GokushovirinaeA_MH572514,Ciona robusta,Marine invertebrate,40,4172,,,,,,,
Family3_GokushovirinaeA_MH572515,Ciona robusta,Marine invertebrate,50,4857,,,,,,,
Family3_GokushovirinaeA_MH616635,Minnow tissue,Marine fish,48,4658,,,,,,,
Family3_GokushovirinaeA_MH616637,Minnow tissue,Marine fish,51,4557,,,,,,,
Family3_GokushovirinaeA_MH616638,Minnow tissue,Marine fish,50,4779,,,,,,,
Family3_GokushovirinaeA_MH616649,Minnow tissue,Marine fish,53,4478,,,,,,,
Family3_GokushovirinaeA_MH616656,Minnow tissue,Marine fish,43,4408,,,,,,,
Family3_GokushovirinaeA_MH616662,Minnow tissue,Marine fish,46,4459,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Candidatus Schmidhempelia,CandidatusSchmidhempelia,n/a
Family3_GokushovirinaeA_MH616666,Minnow tissue,Marine fish,59,4409,,,,,,,
Family3_GokushovirinaeA_MH616681,Minnow tissue,Marine fish,47,4394,,,,,,,
Family3_GokushovirinaeA_MH616682,Minnow tissue,Marine fish,59,4407,,,,,,,
Family3_GokushovirinaeA_MH616685,Haddock tissue,Marine fish,44,4157,,,,,,,
Family3_GokushovirinaeA_MH616688,Minnow tissue,Marine fish,56,4484,,,,,,,
Family3_GokushovirinaeA_MH616692,Minnow tissue,Marine fish,47,4919,,,,,,,
Family3_GokushovirinaeA_MH616696,Minnow tissue,Marine fish,49,4309,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter,n/a
Family3_GokushovirinaeA_MH616700,Minnow tissue,Marine fish,46,4364,,,,,,,
Family3_GokushovirinaeA_MH616704,Minnow tissue,Marine fish,56,4654,,,,,,,
Family3_GokushovirinaeA_MH616712,Minnow tissue,Marine fish,42,4776,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH616713,Minnow tissue,Marine fish,45,4683,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella,n/a
Family3_GokushovirinaeA_MH616714,Minnow tissue,Marine fish,48,4615,,,,,,,
Family3_GokushovirinaeA_MH616717,Minnow tissue,Marine fish,46,4373,,,,,,,
Family3_GokushovirinaeA_MH616718,Minnow tissue,Marine fish,51,4477,,,,,,,
Family3_GokushovirinaeA_MH616720,Minnow tissue,Marine fish,42,4268,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella,n/a
Family3_GokushovirinaeA_MH616734,Red snapper,Marine fish,41,4205,,,,,,,
Family3_GokushovirinaeA_MH616735,Minnow tissue,Marine fish,46,4733,,,,,,,
Family3_GokushovirinaeA_MH616746,Minnow tissue,Marine fish,44,4569,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella,n/a
Family3_GokushovirinaeA_MH616751,Minnow tissue,Marine fish,52,4739,,,,,,,
Family3_GokushovirinaeA_MH616755,Minnow tissue,Marine fish,57,4540,,,,,,,
Family3_GokushovirinaeA_MH616773,Minnow tissue,Marine fish,53,4405,,,,,,,
Family3_GokushovirinaeA_MH616775,Minnow tissue,Marine fish,50,4790,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus,n/a
Family3_GokushovirinaeA_MH616777,Minnow tissue,Marine fish,52,4820,,,,,,,
Family3_GokushovirinaeA_MH616782,Minnow tissue,Marine fish,60,4122,,,,,,,
Family3_GokushovirinaeA_MH616783,Minnow tissue,Marine fish,55,4585,,,,,,,
Family3_GokushovirinaeA_MH616786,Minnow tissue,Marine fish,55,4912,,,,,,,
Family3_GokushovirinaeA_MH616790,Minnow tissue,Marine fish,50,4602,,,,,,,
Family3_GokushovirinaeA_MH616795,Minnow tissue,Marine fish,42,4536,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter,n/a
Family3_GokushovirinaeA_MH616797,Minnow tissue,Marine fish,48,4347,,,,,,,
Family3_GokushovirinaeA_MH616799,Haddock tissue,Marine fish,47,4312,,,,,,,
Family3_GokushovirinaeA_MH616804,Minnow tissue,Marine fish,42,4703,,,,,,,
Family3_GokushovirinaeA_MH616807,Minnow tissue,Marine fish,51,4423,,,,,,,
Family3_GokushovirinaeA_MH616808,Minnow tissue,Marine fish,60,4307,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter,n/a
Family3_GokushovirinaeA_MH616810,Minnow tissue,Marine fish,43,4400,,,,,,,
Family3_GokushovirinaeA_MH616812,Minnow tissue,Marine fish,61,4288,,,,,,,
Family3_GokushovirinaeA_MH616836,Minnow tissue,Marine fish,42,4578,,,,,,,
Family3_GokushovirinaeA_MH616845,Minnow tissue,Marine fish,38,4487,,,,,,,
Family3_GokushovirinaeA_MH616846,Minnow tissue,Marine fish,50,4800,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira,n/a
Family3_GokushovirinaeA_MH616849,Minnow tissue,Marine fish,52,4526,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Sendimentisphaeraceae,Sedimentisphaera,Sedimentisphaera,n/a
Family3_GokushovirinaeA_MH616851,Minnow tissue,Marine fish,46,4721,,,,,,,
Family3_GokushovirinaeA_MH616852,Haddock tissue,Marine fish,48,4468,,,,,,,
Family3_GokushovirinaeA_MH616853,Red snapper,Marine fish,41,4179,,,,,,,
Family3_GokushovirinaeA_MH616859,Minnow tissue,Marine fish,45,4401,,,,,,,
Family3_GokushovirinaeA_MH616863,Rainbow trout,Freshwater fish,57,4680,,,,,,,
Family3_GokushovirinaeA_MH616864,Red snapper,Marine fish,42,4272,,,,,,,
Family3_GokushovirinaeA_MH616865,Minnow tissue,Marine fish,55,4485,,,,,,,
Family3_GokushovirinaeA_MH616867,Minnow tissue,Marine fish,59,4695,,,,,,,
Family3_GokushovirinaeA_MH616870,Minnow tissue,Marine fish,47,4434,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella,n/a
Family3_GokushovirinaeA_MH616873,Minnow tissue,Marine fish,47,5072,,,,,,,
Family3_GokushovirinaeA_MH616876,Red snapper,Marine fish,45,4322,,,,,,,
Family3_GokushovirinaeA_MH616878,Minnow tissue,Marine fish,54,4619,,,,,,,
Family3_GokushovirinaeA_MH616886,Minnow tissue,Marine fish,40,4420,,,,,,,
Family3_GokushovirinaeA_MH616888,Haddock tissue,Marine fish,53,4329,,,,,,,
Family3_GokushovirinaeA_MH616889,Red snapper,Marine fish,45,4176,,,,,,,
Family3_GokushovirinaeA_MH616890,Red snapper,Marine fish,41,4119,,,,,,,
Family3_GokushovirinaeA_MH616891,Minnow tissue,Marine fish,52,5038,,,,,,,
Family3_GokushovirinaeA_MH616893,Minnow tissue,Marine fish,53,4602,,,,,,,
Family3_GokushovirinaeA_MH616895,Red snapper,Marine fish,55,4567,,,,,,,
Family3_GokushovirinaeA_MH616896,Minnow tissue,Marine fish,48,4654,,,,,,,
Family3_GokushovirinaeA_MH616902,Minnow tissue,Marine fish,49,4390,,,,,,,
Family3_GokushovirinaeA_MH616912,Minnow tissue,Marine fish,54,4759,,,,,,,
Family3_GokushovirinaeA_MH616922,Minnow tissue,Marine fish,44,4683,,,,,,,
Family3_GokushovirinaeA_MH616928,Minnow tissue,Marine fish,49,4583,,,,,,,
Family3_GokushovirinaeA_MH616929,Haddock tissue,Marine fish,43,4420,,,,,,,
Family3_GokushovirinaeA_MH616931,Minnow tissue,Marine fish,53,4526,,,,,,,
Family3_GokushovirinaeA_MH616932,Minnow tissue,Marine fish,54,4457,,,,,,,
Family3_GokushovirinaeA_MH616947,Minnow tissue,Marine fish,43,4745,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter,n/a
Family3_GokushovirinaeA_MH616960,Red snapper,Marine fish,40,4102,,,,,,,
Family3_GokushovirinaeA_MH616969,Minnow tissue,Marine fish,59,4499,,,,,,,
Family3_GokushovirinaeA_MH616970,Minnow tissue,Marine fish,52,4469,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Candidatus Macondimonas,CandidatusMacondimonas,n/a
Family3_GokushovirinaeA_MH616974,Minnow tissue,Marine fish,40,4495,,,,,,,
Family3_GokushovirinaeA_MH616975,Red snapper,Marine fish,42,4077,,,,,,,
Family3_GokushovirinaeA_MH616976,Minnow tissue,Marine fish,45,4597,,,,,,,
Family3_GokushovirinaeA_MH616977,Minnow tissue,Marine fish,59,4489,,,,,,,
Family3_GokushovirinaeA_MH616982,Minnow tissue,Marine fish,54,4418,,,,,,,
